Material Quantity (gm),Additive Catalyst (gm),Ash Component (gm),Water Mix (ml),Plasticizer (gm),Moderate Aggregator,Refined Aggregator,Formulation Duration (hrs),Compression Strength MPa
486.42,0.07626632524520381,-1.1850024916891835,201.66,0.017637535415556724,1151.17,708.5,1.3306709179041143,79.89
133.32,0.5672473063071457,0.9400230112110469,175.99,-0.912828462671678,1090.57,1010.25,-1.517224554900584,59.8
559.97,-1.7971723336342056,0.16471671046104272,295.23,-0.34022027099399377,1024.93,810.69,0.6609533360044665,77.86
391.43,1.0559495115455275,-0.2767753278634902,299.14,0.24655203100033535,1134.88,881.34,0.45395395992770643,71.74
394.78,1.0638362534905406,1.0231822598452014,235.54,0.09122465769873214,1098.24,781.01,0.8571848186906275,76.07
245.92,-1.337510477552861,1.1805612704981496,189.96,-0.4770256961822769,1056.28,1001.52,0.908923799682623,51.7
331.51,-0.5724273630764829,1.321976425397585,259.44,1.5725044630058302,1115.11,708.91,-1.2739483784521677,68.67
537.06,0.4842668661643524,-1.2012441753889402,296.79,0.06148182438508194,1032.57,824.26,1.5026573342645368,48.57
568.21,1.4281700544764662,1.3119394470856043,259.54,-0.8500856736610988,1023.44,793.66,0.6337820165025174,62.12
392.0,0.4901971786316215,0.7419579242091354,253.75,-1.248016946943862,864.96,995.81,-0.40753714215738635,70.05
129.34,-0.8678958213393241,-0.94042780764182,185.94,-1.4010812080585773,885.38,892.64,0.8709422993618615,61.96
390.26,0.7989601086296432,0.8066259747635146,290.3,0.5853755745746961,864.45,666.55,-1.4403683420615248,63.1
526.44,0.2881183009351317,-1.2911838938211502,250.43,1.4835380094846444,1101.52,662.58,1.0866399854960418,65.54
248.83,-0.8241666247020033,-0.03643182517679048,249.6,1.3162549070949172,942.89,770.57,-1.3754466715237814,46.27
579.73,0.2718009206804175,-1.1655276239847063,297.21,1.132464558485775,869.18,698.85,-0.901588600674053,42.07
657.8,1.0692372766846034,-0.21720538584501153,296.59,0.2901508278586804,939.29,652.21,1.3790695307917926,64.82
130.3,1.4191738610247275,-1.288322323218163,195.52,-1.6181472575374145,1086.77,654.88,1.3029251728445843,59.3
257.29,0.7329393194436229,0.6930676586477433,232.71,-0.9587935761389825,826.26,1004.39,-0.4141823007375999,67.3
147.09,1.1182394922020156,-0.4350663646098301,214.95,0.7086809914853729,1146.74,652.18,-1.4807627214849346,76.92
225.37,-0.7676058093368383,-1.3932485448759069,149.71,1.5624871992474725,1136.45,640.41,0.2481446116119485,67.88
